id,label,name,score,rank,studio
52991,Anime,Sousou no Frieren,9.32,1,[Madhouse]
5114,Anime,Fullmetal Alchemist: Brotherhood,9.1,2,[Bones]
9253,Anime,Steins;Gate,9.07,4,[White Fox]
38524,Anime,Shingeki no Kyojin Season 3 Part 2,9.05,5,[Wit Studio]
28977,Anime,Gintama°,9.05,6,[Bandai Namco Pictures]
39486,Anime,Gintama: The Final,9.04,7,[Bandai Namco Pictures]
9969,Anime,Gintama',9.03,8,[Sunrise]
11061,Anime,Hunter x Hunter (2011),9.03,9,[Madhouse]
15417,Anime,Gintama': Enchousen,9.02,10,[Sunrise]
41467,Anime,Bleach: Sennen Kessen-hen,9.0,12,[Pierrot]
43608,Anime,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.99,13,[A-1 Pictures]
34096,Anime,Gintama.,8.98,14,[Bandai Namco Pictures]
56784,Anime,Bleach: Sennen Kessen-hen - Soukoku-tan,8.97,15,[Pierrot Films]
42938,Anime,Fruits Basket: The Final,8.96,16,[TMS Entertainment]
4181,Anime,Clannad: After Story,8.93,17,[Kyoto Animation]
918,Anime,Gintama,8.93,18,[Sunrise]
28851,Anime,Koe no Katachi,8.93,19,[Kyoto Animation]
35180,Anime,3-gatsu no Lion 2nd Season,8.91,20,[Shaft]
2904,Anime,Code Geass: Hangyaku no Lelouch R2,8.91,21,[Sunrise]
15335,Anime,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.9,22,[Sunrise]
54492,Anime,Kusuriya no Hitorigoto,8.88,24,"[OLM, TOHO animation STUDIO]"
37491,Anime,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,23,[Bandai Namco Pictures]
19,Anime,Monster,8.88,25,[Madhouse]
37987,Anime,Violet Evergarden Movie,8.85,28,[Kyoto Animation]
40682,Anime,Kingdom 3rd Season,8.83,30,"[Pierrot, Studio Signpost]"
32281,Anime,Kimi no Na wa.,8.83,29,[CoMix Wave Films]
