rank,anime,producers
1,Sousou no Frieren,Aniplex
1,Sousou no Frieren,Dentsu
1,Sousou no Frieren,Shogakukan-Shueisha Productions
1,Sousou no Frieren,Nippon Television Network
1,Sousou no Frieren,TOHO animation
1,Sousou no Frieren,Shogakukan
2,Fullmetal Alchemist: Brotherhood,Aniplex
2,Fullmetal Alchemist: Brotherhood,Square Enix
2,Fullmetal Alchemist: Brotherhood,Mainichi Broadcasting System
2,Fullmetal Alchemist: Brotherhood,Techno Sound
4,Steins;Gate,Frontier Works
4,Steins;Gate,Media Factory
4,Steins;Gate,Kadokawa Shoten
4,Steins;Gate,Movic
4,Steins;Gate,AT-X
4,Steins;Gate,Kadokawa Pictures Japan
4,Steins;Gate,Nitroplus
5,Shingeki no Kyojin Season 3 Part 2,Production I.G
5,Shingeki no Kyojin Season 3 Part 2,Dentsu
5,Shingeki no Kyojin Season 3 Part 2,Mainichi Broadcasting System
5,Shingeki no Kyojin Season 3 Part 2,Pony Canyon
5,Shingeki no Kyojin Season 3 Part 2,Kodansha
5,Shingeki no Kyojin Season 3 Part 2,Techno Sound
5,Shingeki no Kyojin Season 3 Part 2,Pony Canyon Enterprises
6,Gintama°,TV Tokyo
6,Gintama°,Aniplex
6,Gintama°,Dentsu
7,Gintama: The Final,TV Tokyo
7,Gintama: The Final,Aniplex
7,Gintama: The Final,Dentsu
7,Gintama: The Final,Bandai
7,Gintama: The Final,Warner Bros. Japan
7,Gintama: The Final,Shueisha
8,Gintama',TV Tokyo
8,Gintama',Aniplex
8,Gintama',Dentsu
8,Gintama',Trinity Sound
8,Gintama',Miracle Robo
8,Gintama',Shueisha
9,Hunter x Hunter (2011),VAP
9,Hunter x Hunter (2011),Nippon Television Network
9,Hunter x Hunter (2011),Shueisha
10,Gintama': Enchousen,TV Tokyo
10,Gintama': Enchousen,Aniplex
10,Gintama': Enchousen,Dentsu
10,Gintama': Enchousen,Shueisha
10,Gintama': Enchousen,Miracle Bus
11,Bleach: Sennen Kessen-hen,TV Tokyo
11,Bleach: Sennen Kessen-hen,Aniplex
11,Bleach: Sennen Kessen-hen,Dentsu
11,Bleach: Sennen Kessen-hen,Shueisha
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,Aniplex
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,Mainichi Broadcasting System
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,Magic Capsule
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,Shueisha
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,JR East Marketing & Communications
14,Bleach: Sennen Kessen-hen - Soukoku-tan,Pierrot
14,Bleach: Sennen Kessen-hen - Soukoku-tan,TV Tokyo
14,Bleach: Sennen Kessen-hen - Soukoku-tan,Aniplex
14,Bleach: Sennen Kessen-hen - Soukoku-tan,Dentsu
14,Bleach: Sennen Kessen-hen - Soukoku-tan,Shueisha
14,Bleach: Sennen Kessen-hen - Soukoku-tan,Zack Promotion
15,Gintama.,TV Tokyo
15,Gintama.,Aniplex
15,Gintama.,Dentsu
15,Gintama.,Shueisha
16,Fruits Basket: The Final,TV Tokyo
16,Fruits Basket: The Final,TV Osaka
16,Fruits Basket: The Final,Nihon Ad Systems
16,Fruits Basket: The Final,Hakusensha
16,Fruits Basket: The Final,Avex Pictures
16,Fruits Basket: The Final,TMS Music
16,Fruits Basket: The Final,8PAN
17,Clannad: After Story,Pony Canyon
17,Clannad: After Story,TBS
17,Clannad: After Story,Rakuonsha
17,Clannad: After Story,Animation Do
18,Gintama,TV Tokyo
18,Gintama,Aniplex
18,Gintama,Dentsu
18,Gintama,Trinity Sound
18,Gintama,Miracle Robo
18,Gintama,Shueisha
19,Koe no Katachi,Shochiku
19,Koe no Katachi,Pony Canyon
19,Koe no Katachi,Kodansha
19,Koe no Katachi,ABC Animation
19,Koe no Katachi,Quaras
20,3-gatsu no Lion 2nd Season,Aniplex
20,3-gatsu no Lion 2nd Season,Dentsu
20,3-gatsu no Lion 2nd Season,NHK
20,3-gatsu no Lion 2nd Season,Hakusensha
20,3-gatsu no Lion 2nd Season,Asmik Ace
20,3-gatsu no Lion 2nd Season,Toy's Factory
21,Code Geass: Hangyaku no Lelouch R2,Bandai Visual
21,Code Geass: Hangyaku no Lelouch R2,Mainichi Broadcasting System
21,Code Geass: Hangyaku no Lelouch R2,Bandai
21,Code Geass: Hangyaku no Lelouch R2,Bandai Namco Entertainment
21,Code Geass: Hangyaku no Lelouch R2,Hakuhodo DY Media Partners
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,TV Tokyo
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Aniplex
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Dentsu
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Bandai
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Warner Bros. Japan
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Shueisha
24,Kusuriya no Hitorigoto,Dentsu
24,Kusuriya no Hitorigoto,Square Enix
24,Kusuriya no Hitorigoto,Nippon Television Network
24,Kusuriya no Hitorigoto,TOHO animation
24,Kusuriya no Hitorigoto,Shogakukan
24,Kusuriya no Hitorigoto,Imagica Infos
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,TV Tokyo
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,Aniplex
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,Dentsu
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,Shueisha
25,Monster,VAP
25,Monster,Shogakukan-Shueisha Productions
25,Monster,Nippon Television Network
28,Violet Evergarden Movie,Shochiku
28,Violet Evergarden Movie,ABC Animation
30,Kingdom 3rd Season,Shueisha
29,Kimi no Na wa.,TOHO
29,Kimi no Na wa.,Sound Team Don Juan
29,Kimi no Na wa.,Lawson HMV Entertainment
29,Kimi no Na wa.,Amuse
29,Kimi no Na wa.,JR East Marketing & Communications
29,Kimi no Na wa.,Kadokawa
29,Kimi no Na wa.,voque ting
32,Vinland Saga Season 2,Dentsu
32,Vinland Saga Season 2,Kodansha
32,Vinland Saga Season 2,Twin Engine
31,Gintama. Shirogane no Tamashii-hen,TV Tokyo
31,Gintama. Shirogane no Tamashii-hen,Aniplex
31,Gintama. Shirogane no Tamashii-hen,Dentsu
31,Gintama. Shirogane no Tamashii-hen,Shueisha
34,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,AT-X
34,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Magic Capsule
34,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Memory-Tech
34,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Hakuhodo DY Music & Pictures
34,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Kadokawa
34,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,DAXEL
33,Mob Psycho 100 II,Warner Bros. Japan
33,Mob Psycho 100 II,KlockWorx
33,Mob Psycho 100 II,BS Fuji
33,Mob Psycho 100 II,Hakuhodo DY Music & Pictures
33,Mob Psycho 100 II,Shogakukan
38,Boku no Kokoro no Yabai Yatsu 2nd Season,Dentsu
38,Boku no Kokoro no Yabai Yatsu 2nd Season,TV Asahi
38,Boku no Kokoro no Yabai Yatsu 2nd Season,Movic
38,Boku no Kokoro no Yabai Yatsu 2nd Season,Magic Capsule
38,Boku no Kokoro no Yabai Yatsu 2nd Season,Avex Pictures
38,Boku no Kokoro no Yabai Yatsu 2nd Season,Akita Shoten
38,Boku no Kokoro no Yabai Yatsu 2nd Season,BS Asahi
38,Boku no Kokoro no Yabai Yatsu 2nd Season,TV Asahi Music
36,Kizumonogatari III: Reiketsu-hen,Aniplex
36,Kizumonogatari III: Reiketsu-hen,Kodansha
37,Shingeki no Kyojin: The Final Season,Production I.G
37,Shingeki no Kyojin: The Final Season,Dentsu
37,Shingeki no Kyojin: The Final Season,Mainichi Broadcasting System
37,Shingeki no Kyojin: The Final Season,Pony Canyon
