rank,anime,voice_actor
1,Sousou no Frieren,"Ichinose, Kana"
1,Sousou no Frieren,"Tanezaki, Atsumi"
1,Sousou no Frieren,"Kobayashi, Chiaki"
1,Sousou no Frieren,"Kiyoto, Arisa"
2,Fullmetal Alchemist: Brotherhood,"Kugimiya, Rie"
2,Fullmetal Alchemist: Brotherhood,"Park, Romi"
4,Steins;Gate,"Seki, Tomokazu"
4,Steins;Gate,"Imai, Asami"
4,Steins;Gate,"Miyano, Mamoru"
4,Steins;Gate,"Hanazawa, Kana"
5,Shingeki no Kyojin Season 3 Part 2,"Ishikawa, Yui"
5,Shingeki no Kyojin Season 3 Part 2,"Inoue, Marina"
5,Shingeki no Kyojin Season 3 Part 2,"Kamiya, Hiroshi"
5,Shingeki no Kyojin Season 3 Part 2,"Kaji, Yuuki"
6,Gintama°,"Kugimiya, Rie"
6,Gintama°,"Ishii, Kouji"
6,Gintama°,"Sugita, Tomokazu"
6,Gintama°,"Tomatsu, Haruka"
6,Gintama°,"Yaguchi, Asami"
6,Gintama°,"Sakaguchi, Daisuke"
7,Gintama: The Final,"Kugimiya, Rie"
7,Gintama: The Final,"Sugita, Tomokazu"
7,Gintama: The Final,"Sakaguchi, Daisuke"
8,Gintama',"Kugimiya, Rie"
8,Gintama',"Sugita, Tomokazu"
8,Gintama',"Sakaguchi, Daisuke"
9,Hunter x Hunter (2011),"Han, Megumi"
9,Hunter x Hunter (2011),"Sawashiro, Miyuki"
9,Hunter x Hunter (2011),"Fujiwara, Keiji"
9,Hunter x Hunter (2011),"Ise, Mariya"
10,Gintama': Enchousen,"Kugimiya, Rie"
10,Gintama': Enchousen,"Sugita, Tomokazu"
10,Gintama': Enchousen,"Sakaguchi, Daisuke"
10,Gintama': Enchousen,"Takamori, Natsumi"
11,Bleach: Sennen Kessen-hen,"Sugiyama, Noriaki"
11,Bleach: Sennen Kessen-hen,"Morita, Masakazu"
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Kohara, Konomi"
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Tomita, Miyu"
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Suzuki, Ryouta"
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Koga, Aoi"
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Furukawa, Makoto"
14,Bleach: Sennen Kessen-hen - Soukoku-tan,"Sugiyama, Noriaki"
14,Bleach: Sennen Kessen-hen - Soukoku-tan,"Morita, Masakazu"
15,Gintama.,"Kugimiya, Rie"
15,Gintama.,"Ishida, Akira"
15,Gintama.,"Kaida, Yuki"
15,Gintama.,"Sugita, Tomokazu"
15,Gintama.,"Yaguchi, Asami"
15,Gintama.,"Sakaguchi, Daisuke"
