id,label,name
2015,Producer,HoriPro International
1916,Producer,Kadokawa Animation
1850,Producer,Rex Entertainment
1784,Producer,Crunchyroll SC Anime Fund
1619,Producer,Bungeishunjuu
1586,Producer,CIC
1553,Producer,Shounen Gahousha
2511,Producer,Blue Lynx
1355,Producer,TV Aichi
199,Producer,Studio Nue
166,Producer,Movic
1157,Producer,Big Bang
100,Producer,TV Osaka
67,Producer,OB Planning
34,Producer,HAL Film Maker
1,Producer,Pierrot
2016,Producer,Abe Shuuji Jimusho
1983,Producer,Anima&Co.
827,Producer,Amber Film Works
761,Producer,Sunny Side Up
1653,Producer,Kinoshita Group Holdings
1587,Producer,Cygames
1554,Producer,Contents Seed
1488,Producer,Hakuhodo DY Media Partners
464,Producer,flying DOG
2512,Producer,Studio Easter
1422,Producer,CyberAgent
332,Producer,Takeshobo
167,Producer,Sega
134,Producer,HoriPro
101,Producer,Studio Hibari
2,Producer,Kyoto Animation
2017,Producer,Culture Entertainment
894,Producer,Graphinica
795,Producer,Yahoo! Japan
1720,Producer,Aoni Production
1588,Producer,Bandai Channel
1522,Producer,Echoes
1423,Producer,Forecast Communications
399,Producer,Dream Force
1390,Producer,Toy's Factory
2249,Producer,Flagship Line
1225,Producer,Age Global Networks
168,Producer,Shelty
135,Producer,MediaNet
102,Producer,Funimation
2117,Producer,SB Creative
2018,Producer,Rialto Entertainment
2976,Producer,JR Tokai Agency
1886,Producer,Aeon Entertainment
763,Producer,Miracle Robo
2844,Producer,Imagica Infos
1556,Producer,Fuji Creative
1358,Producer,Fields
169,Producer,Fuji TV
103,Producer,Tatsunoko Production
929,Producer,Animation Do
797,Producer,Houbunsha
665,Producer,chara-ani.com
1590,Producer,FuRyu
1557,Producer,Pony Canyon Enterprises
2548,Producer,ABC Frontier
1392,Producer,Zack Promotion
269,Producer,DiC Entertainment
236,Producer,YTV
1260,Producer,Nakamura Production
203,Producer,Visual Arts
2185,Producer,BS Asahi
170,Producer,Imagica
104,Producer,Lantis
963,Producer,MAGES.
1987,Producer,Tokyo Animator Gakuin
2912,Producer,Three S Studio
1822,Producer,Fujio Production
765,Producer,Sakura Create
1492,Producer,Yomiuri TV Enterprise
1459,Producer,Geneon Entertainment USA
1294,Producer,Sound Team Don Juan
1261,Producer,Good Smile Company
204,Producer,Pioneer LDC
2186,Producer,Mirai-Kojo
1988,Producer,TO Books
1856,Producer,dugout
1823,Producer,Live Viewing Japan
2550,Producer,ONIRO
1493,Producer,Tokuma Japan Communications
469,Producer,ING
271,Producer,Barnum Studio
238,Producer,AT-X
139,Producer,Nihon Ad Systems
2121,Producer,FBC
1097,Producer,Bandai Namco Games
73,Producer,TMS Entertainment
2088,Producer,Cloud22
7,Producer,J.C.Staff
1989,Producer,JTB Next Creation
1956,Producer,STORY
1791,Producer,D.N. Dream Partners
701,Producer,Seikaisha
1626,Producer,Shochiku Music Publishing
1461,Producer,Audio Tanaka
2518,Producer,Streamline Pictures
140,Producer,Animax
8,Producer,Artland
2981,Producer,Omnibus Promotion
1990,Producer,Anime Friend
1858,Producer,Sonilude
1792,Producer,Yomiuri Shimbun
2684,Producer,CHOCOLATE
1528,Producer,Animatsu Entertainment
306,Producer,Magic Capsule
2222,Producer,MediaNet Pictures
141,Producer,Toei Video
108,Producer,Media Factory
1099,Producer,Cyclone Graphics
75,Producer,Imagin
42,Producer,GDH
1991,Producer,Enishiya
2817,Producer,Tokyu Agency
769,Producer,Fujipacific Music
703,Producer,Notes
1727,Producer,Tencent Penguin Pictures
1496,Producer,Lawson
1430,Producer,Shogakukan
1397,Producer,Universal Music Japan
1331,Producer,i0+
2289,Producer,GREE Entertainment
2223,Producer,Christmas Holly
142,Producer,Asatsu DK
109,Producer,Shochiku
76,Producer,Yomiuri Telecasting
10,Producer,Production I.G
1992,Producer,Bandai Spirits
2884,Producer,Plusone
737,Producer,Sony Music Communications
1728,Producer,China Literature Limited
539,Producer,Ultra Super Pictures
1563,Producer,Hakuhodo
1497,Producer,C & I entertainment
1365,Producer,Shueisha
242,Producer,Ashi Productions
1233,Producer,Bandai Namco Entertainment
143,Producer,Mainichi Broadcasting System
2092,Producer,BookLive
11,Producer,Madhouse
3017,Producer,Polydor Records
1696,Producer,Kadokawa
1597,Producer,Sotsu Music Publishing
1564,Producer,Mitsubishi
474,Producer,Shogakukan Music & Digital Entertainment
1366,Producer,Nagoya Broadcasting Network
1333,Producer,Hakuhodo DY Music & Pictures
2225,Producer,C-one
210,Producer,Studio Tulip
177,Producer,Studio Kyuuma
144,Producer,Pony Canyon
111,Producer,NHK
1003,Producer,Nippon Television Network
1697,Producer,KDDI
1664,Producer,Fujimi Shobo
2523,Producer,"TEM Co., Ltd."
1499,Producer,Techno Sound
2424,Producer,Bandai Namco Filmworks
1334,Producer,Docomo Anime Store
211,Producer,Rakuonsha
2292,Producer,Toei Advertising
178,Producer,Trilogy Future Studio
145,Producer,TBS
1169,Producer,ILCA
79,Producer,Genco
1929,Producer,voque ting
