source,target,type
52991,17,undirected
52991,53,undirected
52991,62,undirected
52991,1003,undirected
52991,1143,undirected
52991,1430,undirected
5114,17,undirected
5114,58,undirected
5114,143,undirected
5114,1499,undirected
9253,61,undirected
9253,108,undirected
9253,113,undirected
9253,166,undirected
9253,238,undirected
9253,352,undirected
9253,459,undirected
38524,10,undirected
38524,53,undirected
38524,143,undirected
38524,144,undirected
38524,159,undirected
38524,1499,undirected
38524,1557,undirected
28977,16,undirected
28977,17,undirected
28977,53,undirected
39486,16,undirected
39486,17,undirected
39486,53,undirected
39486,230,undirected
39486,415,undirected
39486,1365,undirected
9969,16,undirected
9969,17,undirected
9969,53,undirected
9969,643,undirected
9969,763,undirected
9969,1365,undirected
11061,29,undirected
11061,1003,undirected
11061,1365,undirected
15417,16,undirected
15417,17,undirected
15417,53,undirected
15417,1365,undirected
15417,1406,undirected
41467,16,undirected
41467,17,undirected
41467,53,undirected
41467,1365,undirected
43608,17,undirected
43608,143,undirected
43608,306,undirected
43608,1365,undirected
43608,1501,undirected
34096,16,undirected
34096,17,undirected
34096,53,undirected
34096,1365,undirected
56784,1,undirected
56784,16,undirected
56784,17,undirected
56784,53,undirected
56784,1365,undirected
56784,1392,undirected
42938,16,undirected
42938,100,undirected
42938,139,undirected
42938,148,undirected
42938,1284,undirected
42938,2174,undirected
42938,2495,undirected
4181,144,undirected
4181,145,undirected
4181,211,undirected
4181,929,undirected
918,16,undirected
918,17,undirected
918,53,undirected
918,643,undirected
918,763,undirected
918,1365,undirected
28851,109,undirected
28851,144,undirected
28851,159,undirected
28851,1500,undirected
28851,1574,undirected
35180,17,undirected
35180,53,undirected
35180,111,undirected
35180,148,undirected
35180,517,undirected
35180,1390,undirected
2904,23,undirected
2904,143,undirected
2904,230,undirected
2904,1233,undirected
2904,1488,undirected
15335,16,undirected
15335,17,undirected
15335,53,undirected
15335,230,undirected
15335,415,undirected
15335,1365,undirected
54492,53,undirected
54492,58,undirected
54492,1003,undirected
54492,1143,undirected
54492,1430,undirected
54492,2844,undirected
37491,16,undirected
37491,17,undirected
37491,53,undirected
37491,1365,undirected
19,29,undirected
19,62,undirected
19,1003,undirected
37987,109,undirected
37987,1500,undirected
40682,1365,undirected
32281,245,undirected
32281,1294,undirected
32281,1309,undirected
32281,1313,undirected
32281,1501,undirected
32281,1696,undirected
32281,1929,undirected
49387,53,undirected
49387,159,undirected
49387,1747,undirected
36838,16,undirected
36838,17,undirected
36838,53,undirected
36838,1365,undirected
37510,415,undirected
37510,460,undirected
37510,843,undirected
37510,1333,undirected
37510,1430,undirected
55690,53,undirected
55690,55,undirected
55690,166,undirected
55690,306,undirected
55690,1284,undirected
55690,1373,undirected
55690,2185,undirected
55690,2234,undirected
31758,17,undirected
31758,159,undirected
40028,10,undirected
40028,53,undirected
40028,143,undirected
40028,144,undirected
40028,159,undirected
40028,1499,undirected
40028,1557,undirected
51009,143,undirected
51009,1143,undirected
51009,1365,undirected
51009,1856,undirected
51009,2260,undirected
32935,53,undirected
32935,143,undirected
32935,166,undirected
32935,757,undirected
