id,label,name
2205,Studio,Studio Kafka
413,Studio,Pastel
91,Studio,feel.
314,Studio,White Fox
537,Studio,SANZIGEN
75,Studio,Imagin
1669,Studio,production doA
290,Studio,Kinema Citrus
34,Studio,HAL Film Maker
1314,Studio,Gaina
1,Studio,Pierrot
1471,Studio,Platinum Vision
439,Studio,Project No.9
951,Studio,NAZ
852,Studio,Nexus
1876,Studio,CLAP
84,Studio,Studio Rikka
1075,Studio,C-Station
18,Studio,Toei Animation
1967,Studio,Drive
2256,Studio,Kitty Film Mitaka Studio
1835,Studio,CloverWorks
43,Studio,ufotable
555,Studio,Studio Chizu
10,Studio,Production I.G
456,Studio,Lerche
200,Studio,Tezuka Productions
1893,Studio,CygamesPictures
101,Studio,Studio Hibari
68,Studio,Mushi Production
291,Studio,CoMix Wave Films
803,Studio,Trigger
35,Studio,Seven Arcs
2,Studio,Kyoto Animation
126,Studio,Studio Comet
605,Studio,C2C
60,Studio,Actas
27,Studio,Xebec
2298,Studio,Atelier Pontdarc
473,Studio,Ascension
118,Studio,SynergySP
1109,Studio,Orange
2067,Studio,Flat Studio
2513,Studio,HMCH
911,Studio,Passione
110,Studio,Triangle Staff
333,Studio,TYO Animations
77,Studio,APPP
44,Studio,Shaft
300,Studio,SILVER LINK.
11,Studio,Madhouse
1258,Studio,Bandai Namco Pictures
234,Studio,Oh! Production
1993,Studio,Studio Bind
2951,Studio,Pierrot Films
358,Studio,Telescreen
36,Studio,Gallop
1828,Studio,Lapin Track
3,Studio,Gonzo
1440,Studio,Felix Film
94,Studio,Telecom Animation Film
28,Studio,OLM
2010,Studio,Nippon Ramayana Film Co.
218,Studio,Zexcs
441,Studio,8bit
86,Studio,Group TAC
309,Studio,GoHands
235,Studio,Shirogumi
103,Studio,Tatsunoko Production
70,Studio,Nomad
37,Studio,Studio Deen
4,Studio,Bones
929,Studio,Animation Do
1119,Studio,Shuka
95,Studio,Doga Kobo
1722,Studio,Bibury Animation Studios
442,Studio,Minami Machi Bugyousho
1111,Studio,DandeLion Animation Studio
21,Studio,Studio Ghibli
1813,Studio,Studio Lings
2705,Studio,TOHO animation STUDIO
112,Studio,Brain's Base
1103,Studio,TROYCA
2829,Studio,EOTA
13,Studio,Studio 4°C
839,Studio,LIDENFILMS
38,Studio,Arms
5,Studio,Bee Train
418,Studio,Studio Gokumi
96,Studio,Yumeta Company
1087,Studio,Lay-duce
30,Studio,Ajia-do
1244,Studio,Studio VOLN
154,Studio,E&G Films
1690,Studio,Imagineer
88,Studio,AIC ASTA
1591,Studio,Science SARU
1847,Studio,Square Enix Visual Works
22,Studio,Nippon Animation
2037,Studio,Okuruto Noboru
179,Studio,A.C.G.T.
1393,Studio,Geno Studio
1872,Studio,P.I.C.S.
80,Studio,Trans Arts
47,Studio,Khara
559,Studio,Purple Cow Studio Japan
14,Studio,Sunrise
1129,Studio,Pierrot Plus
39,Studio,Daume
6,Studio,Gainax
287,Studio,David Production
1567,Studio,Nut
122,Studio,Tokyo Kids
56,Studio,A-1 Pictures
81,Studio,Radix
2674,Studio,BUG FILMS
1295,Studio,PINE JAM
2509,Studio,Colored Pencil Animation
1997,Studio,Studio Kai
73,Studio,TMS Entertainment
7,Studio,J.C.Staff
1444,Studio,Egg Firm
354,Studio,Encourage Films
866,Studio,Fanworks
65,Studio,Tokyo Movie Shinsha
1857,Studio,Geek Toys
32,Studio,Manglobe
1023,Studio,Polygon Pictures
478,Studio,Studio Blanc.
858,Studio,Wit Studio
346,Studio,Hoods Entertainment
569,Studio,MAPPA
247,Studio,Shin-Ei Animation
2196,Studio,Studio DURIAN
2097,Studio,HORNETS
1296,Studio,Marza Animation Planet
1998,Studio,Studio Signpost
363,Studio,Topcraft
553,Studio,Marvy Jack
41,Studio,Satelight
8,Studio,Artland
2725,Studio,CompTown
132,Studio,P.A. Works
1379,Studio,Zero-G
