source,target,type
52991,11,undirected
5114,4,undirected
9253,314,undirected
38524,858,undirected
28977,1258,undirected
39486,1258,undirected
9969,14,undirected
11061,11,undirected
15417,14,undirected
41467,1,undirected
43608,56,undirected
34096,1258,undirected
56784,2951,undirected
42938,73,undirected
4181,2,undirected
918,14,undirected
28851,2,undirected
35180,44,undirected
2904,14,undirected
15335,14,undirected
54492,28,undirected
54492,2705,undirected
37491,1258,undirected
19,11,undirected
37987,2,undirected
40682,1,undirected
40682,1998,undirected
32281,291,undirected
49387,569,undirected
36838,1258,undirected
37510,4,undirected
55690,247,undirected
31758,44,undirected
40028,569,undirected
51009,569,undirected
32935,10,undirected
263,11,undirected
199,21,undirected
17074,44,undirected
47917,1835,undirected
37521,858,undirected
48583,569,undirected
54857,314,undirected
52198,56,undirected
1,14,undirected
45649,18,undirected
45649,1111,undirected
53223,1,undirected
53223,1998,undirected
2921,65,undirected
50160,1,undirected
50160,1998,undirected
21,18,undirected
47778,43,undirected
39894,2,undirected
24701,8,undirected
58125,2196,undirected
50172,4,undirected
48569,56,undirected
53998,1,undirected
33095,37,undirected
1575,14,undirected
57334,1591,undirected
55823,1119,undirected
21939,8,undirected
33352,2,undirected
245,1,undirected
5258,11,undirected
431,21,undirected
164,21,undirected
33050,43,undirected
45576,1993,undirected
46102,28,undirected
46102,1872,undirected
457,8,undirected
34599,290,undirected
11665,112,undirected
23273,56,undirected
54898,4,undirected
52742,10,undirected
2001,6,undirected
35760,858,undirected
40591,56,undirected
22135,103,undirected
1535,11,undirected
28891,10,undirected
41084,290,undirected
55791,95,undirected
52701,803,undirected
34591,1119,undirected
19647,11,undirected
19647,569,undirected
36862,290,undirected
52034,95,undirected
7311,2,undirected
4565,6,undirected
38329,1835,undirected
3786,47,undirected
33,28,undirected
37991,287,undirected
28957,8,undirected
10379,112,undirected
40748,569,undirected
40456,43,undirected
32983,1119,undirected
31757,44,undirected
12355,555,undirected
877,11,undirected
28735,37,undirected
36098,1244,undirected
16498,858,undirected
7785,11,undirected
437,11,undirected
170,18,undirected
40776,10,undirected
32,6,undirected
32,10,undirected
30484,314,undirected
11741,43,undirected
40417,73,undirected
