source,target,type
793,784234381,undirected
793,647042807,undirected
793,1004488410,undirected
30654,-1545153521,undirected
30654,-1031224018,undirected
30654,1004488410,undirected
30654,-1395879082,undirected
52588,-2073427426,undirected
52588,640546987,undirected
52588,-966533969,undirected
52588,49295858,undirected
52588,-403216168,undirected
5682,1668641251,undirected
5682,165866907,undirected
5682,-309420403,undirected
21339,-388389166,undirected
21339,-640353766,undirected
397,1213109563,undirected
397,634861682,undirected
54900,-385711991,undirected
54900,1532605082,undirected
54900,1955848365,undirected
54900,-73746960,undirected
54900,-867359006,undirected
54900,-911763424,undirected
28805,606112417,undirected
28805,2138447252,undirected
28805,-1409007874,undirected
28805,392190264,undirected
12355,-1355458919,undirected
12355,-1351475176,undirected
12355,-1409007874,undirected
12355,1837005553,undirected
12355,-898099787,undirected
12355,828766319,undirected
199,-309420403,undirected
199,271383212,undirected
1,1419406276,undirected
1,673256684,undirected
1,857020055,undirected
1,1421295197,undirected
6211,2016039801,undirected
6211,401286265,undirected
6211,1049753756,undirected
35082,-817925082,undirected
35082,-1185647369,undirected
37989,-1440606252,undirected
37989,1936341820,undirected
37989,-1749365125,undirected
3701,2019846826,undirected
3701,-492332476,undirected
3701,811681975,undirected
49220,290389829,undirected
49220,1004488410,undirected
49220,-1707785373,undirected
31646,-1884713945,undirected
31646,-640353766,undirected
31646,-1509776773,undirected
31646,-966533969,undirected
31646,-1525977001,undirected
530,-1442401654,undirected
530,1536329690,undirected
530,616478732,undirected
530,-882569063,undirected
530,-54269680,undirected
530,-673919286,undirected
530,1127903270,undirected
530,237323193,undirected
530,995393773,undirected
464,514696011,undirected
464,2121839670,undirected
464,238304903,undirected
464,-1911929019,undirected
464,-1414738672,undirected
464,784234381,undirected
464,605788368,undirected
464,1885039534,undirected
464,1963706696,undirected
42745,430506558,undirected
42745,369471873,undirected
16782,-309420403,undirected
16782,632528853,undirected
16782,-640353766,undirected
50739,513354548,undirected
50739,-715534560,undirected
27947,-2076890171,undirected
27947,-317458557,undirected
27947,-1770958415,undirected
27947,1668641251,undirected
27947,673256684,undirected
50410,67722,undirected
50410,-1710695926,undirected
50410,708072239,undirected
50410,2121839670,undirected
50410,238304903,undirected
50410,-1911929019,undirected
50410,784234381,undirected
50410,605788368,undirected
50410,201482628,undirected
50410,1885039534,undirected
50410,1963706696,undirected
50410,-667821544,undirected
50410,65676,undirected
31251,-966533969,undirected
31251,-2049837345,undirected
31251,1672834226,undirected
31251,-1563969087,undirected
31251,2126297259,undirected
861,784234381,undirected
861,647042807,undirected
861,178045728,undirected
861,1004488410,undirected
795,85141527,undirected
795,133345252,undirected
795,1911608482,undirected
795,1617803143,undirected
795,-454179415,undirected
36999,-1607117304,undirected
597,-1590564817,undirected
597,1012864547,undirected
37924,822574794,undirected
37924,-2054112488,undirected
37924,-911763424,undirected
531,-1442401654,undirected
531,-43664692,undirected
531,616478732,undirected
531,125275788,undirected
531,65078504,undirected
531,-882569063,undirected
531,-54269680,undirected
531,491283226,undirected
531,1127903270,undirected
531,237323193,undirected
6675,1440664520,undirected
6675,94953930,undirected
28675,2303130,undirected
28675,1087689511,undirected
28675,1404135962,undirected
28675,180405641,undirected
28675,-1667934892,undirected
54968,-1545153521,undirected
54968,-25089305,undirected
35677,1505232370,undirected
35677,605121934,undirected
267,-388389166,undirected
267,-1914139499,undirected
267,-503331395,undirected
5420,-415834648,undirected
9252,-1187308571,undirected
9252,394478779,undirected
9252,-1607117304,undirected
135,1544729667,undirected
135,33397831,undirected
135,-685928185,undirected
39575,1988301924,undirected
39575,1482206316,undirected
8129,1429241679,undirected
8129,-640353766,undirected
51995,-817925082,undirected
22135,1945401946,undirected
22135,-1595706829,undirected
22135,-73746960,undirected
22135,1206209058,undirected
14075,-640353766,undirected
14075,75717441,undirected
14075,-2032752875,undirected
14075,1668641251,undirected
14075,-73746960,undirected
14075,2019846826,undirected
37991,379223387,undirected
37991,-911763424,undirected
37991,1218405200,undirected
37991,-1948350991,undirected
37991,409474874,undirected
37991,-546626413,undirected
37991,70287441,undirected
37991,822574794,undirected
37991,-402688508,undirected
37991,966667162,undirected
37991,1709655271,undirected
532,-1442401654,undirected
532,616478732,undirected
532,995393773,undirected
532,-882569063,undirected
532,1748251224,undirected
532,-54269680,undirected
532,-1902425086,undirected
532,1127903270,undirected
532,-43664692,undirected
532,680105403,undirected
532,617611648,undirected
532,237323193,undirected
38850,-1513803756,undirected
38850,369471873,undirected
38850,616096508,undirected
38850,-1286894040,undirected
38850,1277959065,undirected
400,841150063,undirected
400,-863591576,undirected
400,1213109563,undirected
400,1604918770,undirected
400,1817690468,undirected
400,-1825445439,undirected
35678,-2054112488,undirected
35678,-817925082,undirected
202,-496682206,undirected
202,-1026114558,undirected
202,314006290,undirected
202,-859740819,undirected
202,471922383,undirected
136,2037256733,undirected
136,-350608770,undirected
136,472836572,undirected
136,-1060992766,undirected
48561,-45397545,undirected
48561,-911763424,undirected
48561,-73746960,undirected
48561,-43664692,undirected
48561,-388389166,undirected
48561,-1286894040,undirected
25835,-1351549901,undirected
25835,-1276990229,undirected
25835,183925542,undirected
25835,179929363,undirected
25835,241550715,undirected
9253,-388389166,undirected
9253,-1816357557,undirected
9253,314006290,undirected
9253,-640353766,undirected
50346,-2054112488,undirected
50346,767324304,undirected
50346,1709655271,undirected
39247,-71469192,undirected
39247,806766546,undirected
39247,430916263,undirected
2581,-1607117304,undirected
2581,-503190453,undirected
2581,-1180212726,undirected
2581,314006290,undirected
2581,1034912887,undirected
2581,1562670976,undirected
467,2107800461,undirected
467,-1414738672,undirected
467,1795657955,undirected
467,673256684,undirected
3572,18661426,undirected
3572,-618724908,undirected
3572,-911763424,undirected
269,1936341820,undirected
269,-1221265351,undirected
269,1630520817,undirected
269,-10559693,undirected
269,203345567,undirected
269,-1516424243,undirected
269,-1214937427,undirected
269,1630520817,undirected
269,-1183682921,undirected
2251,937556008,undirected
2251,1532267122,undirected
2251,-685928185,undirected
2251,290389829,undirected
2251,2025130604,undirected
2251,1349473534,undirected
2251,1010994542,undirected
2251,-503190453,undirected
2251,837141235,undirected
2251,1529982402,undirected
2251,-1214937427,undirected
36538,810261924,undirected
36538,-1607117304,undirected
36538,1982855072,undirected
55102,74351962,undirected
55102,75039523,undirected
55102,2547274,undirected
55102,85794992,undirected
55102,79866583,undirected
20815,-911763424,undirected
20815,616478732,undirected
20815,-1545153521,undirected
20815,2035855208,undirected
20815,-210907578,undirected
20815,-1437694988,undirected
20815,-710921092,undirected
5,1419406276,undirected
5,-1321917947,undirected
5,673256684,undirected
5,857020055,undirected
5,-503331395,undirected
5,1421295197,undirected
41361,923244165,undirected
41361,369471873,undirected
996,-1442401654,undirected
996,-882569063,undirected
996,1748251224,undirected
996,-54269680,undirected
996,-1902425086,undirected
996,1127903270,undirected
996,-1921037603,undirected
996,1858131610,undirected
996,-43664692,undirected
996,680105403,undirected
996,237323193,undirected
996,791374565,undirected
1921,301268560,undirected
1921,617611648,undirected
1921,-1058162468,undirected
1921,-1700850102,undirected
16918,626697398,undirected
16918,473653768,undirected
17909,810388240,undirected
17909,-503190453,undirected
17909,379223387,undirected
17909,-45397545,undirected
21939,-352332651,undirected
51536,-817925082,undirected
51536,-1884713945,undirected
51536,1591537412,undirected
51536,-152379318,undirected
51536,-1065052370,undirected
51536,455881565,undirected
51536,124960571,undirected
51536,-1816357627,undirected
51536,-1341022864,undirected
51536,1634260262,undirected
34822,1532605082,undirected
34822,795171911,undirected
34822,369471873,undirected
34822,-1288119229,undirected
534,1690836789,undirected
534,125275788,undirected
534,857020055,undirected
534,-550922515,undirected
468,-1414738672,undirected
468,673256684,undirected
28479,386289534,undirected
28479,1963706696,undirected
28479,343658600,undirected
40834,-215228480,undirected
40834,131305960,undirected
2450,-1982866687,undirected
2450,-1261916706,undirected
2450,837141235,undirected
2450,-645408352,undirected
2450,-841991421,undirected
2450,-252971033,undirected
2450,-89704457,undirected
2450,-624551897,undirected
2450,-1901631858,undirected
54839,1556863819,undirected
54839,-2042855003,undirected
54839,1393296496,undirected
54839,1735354274,undirected
19363,626697398,undirected
19363,473653768,undirected
72,-2129712745,undirected
72,-388389166,undirected
54112,-724946153,undirected
54112,1961564723,undirected
54112,-1271727079,undirected
54112,1631457098,undirected
6,1218537767,undirected
6,-2129712745,undirected
6,1532267122,undirected
6,-1291268278,undirected
6,1938860046,undirected
43608,369471873,undirected
43608,1393296496,undirected
43608,-385711991,undirected
43608,1800568137,undirected
43608,-1271727079,undirected
34096,-469146262,undirected
34096,-1070400430,undirected
34096,-350608770,undirected
34096,434453139,undirected
34096,-1404697431,undirected
34096,1529982402,undirected
34096,290389829,undirected
34096,2019846826,undirected
40174,2128880917,undirected
40174,1035862296,undirected
40174,-125290934,undirected
40174,1404135962,undirected
40174,2095031913,undirected
40174,314006290,undirected
40174,237323193,undirected
40174,1945397514,undirected
52198,1800568137,undirected
52198,-1271727079,undirected
6811,-2129712745,undirected
6811,1963706696,undirected
6811,815958271,undirected
6811,394478779,undirected
6811,2019846826,undirected
51009,1955848365,undirected
51009,-402688508,undirected
51009,-45397545,undirected
51009,-911763424,undirected
51009,-1314836734,undirected
51009,-546626413,undirected
51009,851137066,undirected
4565,-2142091587,undirected
4565,-2093312339,undirected
535,1690836789,undirected
535,125275788,undirected
535,857020055,undirected
535,-550922515,undirected
23327,379223387,undirected
23327,-503190453,undirected
23327,744373162,undirected
6547,-1849512722,undirected
6547,-1607117304,undirected
6547,-640353766,undirected
10379,810261924,undirected
10379,-1607117304,undirected
10379,1982855072,undirected
7472,-1899496052,undirected
7472,-469146262,undirected
7472,-1070400430,undirected
7472,434453139,undirected
7472,1529982402,undirected
205,-623754043,undirected
205,1213109563,undirected
205,784234381,undirected
22535,-867359006,undirected
22535,-267381020,undirected
73,-2129712745,undirected
73,-388389166,undirected
73,-1635636539,undirected
30727,-996939427,undirected
30727,-1509776773,undirected
30727,-1513803756,undirected
30727,1702257547,undirected
10049,-2083730646,undirected
10049,1004488410,undirected
10049,-515277882,undirected
10049,-1579309934,undirected
5028,426594028,undirected
5028,722197728,undirected
5028,-1214937427,undirected
5028,-1535133200,undirected
12031,-469146262,undirected
12031,1383645770,undirected
12031,-1214937427,undirected
12031,1004488410,undirected
6746,1988301924,undirected
6746,-1595534172,undirected
6746,314006290,undirected
6746,-1607117304,undirected
6746,75717441,undirected
6746,-640353766,undirected
6746,1668641251,undirected
33899,-1784543568,undirected
33899,-1456025876,undirected
33899,822574794,undirected
33899,1813962555,undirected
33899,125594343,undirected
33899,174304068,undirected
33899,2303130,undirected
42091,-1155129170,undirected
42091,98075180,undirected
42091,-2117075954,undirected
338,-407544361,undirected
338,-696990650,undirected
338,1752830538,undirected
338,658907569,undirected
338,296388171,undirected
338,562780971,undirected
48895,1836996181,undirected
1065,296862948,undirected
1065,300770578,undirected
1065,-1442401654,undirected
1065,-1197694692,undirected
1065,-1942742686,undirected
1065,-1861243848,undirected
52991,-300579669,undirected
52991,605121934,undirected
52991,-240687688,undirected
52991,-540300253,undirected
5029,426594028,undirected
5029,722197728,undirected
5029,-1430841717,undirected
5029,-1934432406,undirected
29803,1836996181,undirected
11239,2039850839,undirected
11239,-890796360,undirected
11239,-389036098,undirected
11239,1354621681,undirected
11239,2092907367,undirected
11239,-2002774756,undirected
15335,-469146262,undirected
15335,434453139,undirected
15335,1529982402,undirected
801,2107800461,undirected
801,-1414738672,undirected
801,1795657955,undirected
801,673256684,undirected
8795,-496682206,undirected
8795,-1314836734,undirected
8795,271169470,undirected
8795,-503190453,undirected
5690,-388389166,undirected
5690,-210907578,undirected
5690,1213109563,undirected
32182,-1414738672,undirected
32182,-309420403,undirected
32182,1665861808,undirected
32182,-45397545,undirected
1594,-492332476,undirected
1594,203345567,undirected
1594,2007041697,undirected
1594,-683157786,undirected
1594,406278940,undirected
50416,-817925082,undirected
50416,1240759260,undirected
1462,-503331395,undirected
1462,379243378,undirected
1462,673256684,undirected
1462,786278265,undirected
1462,802547426,undirected
1462,667243622,undirected
1462,-1888066706,undirected
339,1417784817,undirected
14741,1277959065,undirected
14741,-627194634,undirected
14741,1944151445,undirected
14741,1004488410,undirected
14741,-26668036,undirected
14807,-1070400430,undirected
14807,-448409145,undirected
14807,800393984,undirected
14807,1218355603,undirected
55701,1110055572,undirected
41497,-448409145,undirected
41497,-867359006,undirected
41497,1735354274,undirected
34428,2098902100,undirected
34428,1836996181,undirected
48830,-73746960,undirected
48830,314006290,undirected
48830,-1235328453,undirected
48830,-867359006,undirected
48830,-1129514379,undirected
48830,180405641,undirected
48830,-2129712745,undirected
38524,-1155129170,undirected
38524,98075180,undirected
38524,-1607117304,undirected
38524,-2117075954,undirected
48896,1836996181,undirected
32843,-1509776773,undirected
32843,1383645770,undirected
32843,-83108849,undirected
32843,-56899984,undirected
32843,1985733302,undirected
32843,165866907,undirected
934,-600542303,undirected
934,1073282918,undirected
934,-1187308571,undirected
934,810388240,undirected
934,-2129712745,undirected
