rank,anime,character,voiceactor
1,Sousou no Frieren,Frieren,"Ichinose, Kana"
1,Sousou no Frieren,Stark,"Tanezaki, Atsumi"
1,Sousou no Frieren,Stark,"Kobayashi, Chiaki"
1,Sousou no Frieren,Stark,"Kiyoto, Arisa"
3,One Piece Fan Letter,Marine Older Brother,"Kikuchi, Kokoro"
3,One Piece Fan Letter,Marine Older Brother,"Kase, Yasuyuki"
2,Fullmetal Alchemist: Brotherhood,"Elric, Edward","Kugimiya, Rie"
2,Fullmetal Alchemist: Brotherhood,"Elric, Edward","Park, Romi"
4,Steins;Gate,"Makise, Kurisu","Seki, Tomokazu"
4,Steins;Gate,"Okabe, Rintarou","Imai, Asami"
4,Steins;Gate,"Shiina, Mayuri","Miyano, Mamoru"
4,Steins;Gate,"Shiina, Mayuri","Hanazawa, Kana"
5,Shingeki no Kyojin Season 3 Part 2,"Arlert, Armin","Ishikawa, Yui"
5,Shingeki no Kyojin Season 3 Part 2,Levi,"Inoue, Marina"
5,Shingeki no Kyojin Season 3 Part 2,"Yeager, Eren","Kamiya, Hiroshi"
5,Shingeki no Kyojin Season 3 Part 2,"Yeager, Eren","Kaji, Yuuki"
6,Gintama°,"Sakata, Gintoki","Kugimiya, Rie"
6,Gintama°,"Shimura, Shinpachi","Ishii, Kouji"
6,Gintama°,"Shimura, Shinpachi","Sugita, Tomokazu"
6,Gintama°,"Shimura, Shinpachi","Tomatsu, Haruka"
6,Gintama°,"Shimura, Shinpachi","Yaguchi, Asami"
6,Gintama°,"Shimura, Shinpachi","Sakaguchi, Daisuke"
7,Gintama: The Final,"Sakata, Gintoki","Kugimiya, Rie"
7,Gintama: The Final,"Shimura, Shinpachi","Sugita, Tomokazu"
7,Gintama: The Final,"Shimura, Shinpachi","Sakaguchi, Daisuke"
8,Gintama',"Sakata, Gintoki","Kugimiya, Rie"
8,Gintama',"Shimura, Shinpachi","Sugita, Tomokazu"
8,Gintama',"Shimura, Shinpachi","Sakaguchi, Daisuke"
9,Hunter x Hunter (2011),Kurapika,"Han, Megumi"
9,Hunter x Hunter (2011),"Paladiknight, Leorio","Sawashiro, Miyuki"
9,Hunter x Hunter (2011),"Zoldyck, Killua","Fujiwara, Keiji"
9,Hunter x Hunter (2011),"Zoldyck, Killua","Ise, Mariya"
10,Gintama': Enchousen,"Sakata, Gintoki","Kugimiya, Rie"
10,Gintama': Enchousen,"Shimura, Shinpachi","Sugita, Tomokazu"
10,Gintama': Enchousen,"Shimura, Shinpachi","Sakaguchi, Daisuke"
10,Gintama': Enchousen,"Shimura, Shinpachi","Takamori, Natsumi"
12,Ginga Eiyuu Densetsu,"Greenhill, Frederica","Inoue, Kazuhiko"
12,Ginga Eiyuu Densetsu,"Kircheis, Siegfried","Sakakibara, Yoshiko"
12,Ginga Eiyuu Densetsu,"Minci, Julian","Hironaka, Masashi"
12,Ginga Eiyuu Densetsu,"Mittermeyer, Wolfgang","Sasaki, Nozomu"
12,Ginga Eiyuu Densetsu,"von Lohengramm, Reinhard","Mori, Katsuji"
12,Ginga Eiyuu Densetsu,"von Mariendorf, Hildegard","Horikawa, Ryo"
12,Ginga Eiyuu Densetsu,"von Oberstein, Paul","Narahashi, Miki"
12,Ginga Eiyuu Densetsu,"von Reuenthal, Oskar","Katsuki, Masako"
12,Ginga Eiyuu Densetsu,"von Schönkopf, Walter","Shiozawa, Kaneto"
12,Ginga Eiyuu Densetsu,"Yang, Wen-li","Wakamoto, Norio"
12,Ginga Eiyuu Densetsu,"Yang, Wen-li","Hazama, Michio"
12,Ginga Eiyuu Densetsu,"Yang, Wen-li","Tomiyama, Kei"
11,Bleach: Sennen Kessen-hen,"Kurosaki, Ichigo","Sugiyama, Noriaki"
11,Bleach: Sennen Kessen-hen,"Kurosaki, Ichigo","Morita, Masakazu"
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Iino, Miko","Kohara, Konomi"
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Ishigami, Yuu","Tomita, Miyu"
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Shinomiya, Kaguya","Suzuki, Ryouta"
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Shirogane, Miyuki","Koga, Aoi"
13,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Shirogane, Miyuki","Furukawa, Makoto"
14,Bleach: Sennen Kessen-hen - Soukoku-tan,"Kurosaki, Ichigo","Sugiyama, Noriaki"
14,Bleach: Sennen Kessen-hen - Soukoku-tan,"Kurosaki, Ichigo","Morita, Masakazu"
15,Gintama.,"Katsura, Kotarou","Kugimiya, Rie"
15,Gintama.,"Sakata, Gintoki","Ishida, Akira"
15,Gintama.,"Shimura, Shinpachi","Kaida, Yuki"
15,Gintama.,"Takasugi, Shinsuke","Sugita, Tomokazu"
15,Gintama.,"Takasugi, Shinsuke","Yaguchi, Asami"
15,Gintama.,"Takasugi, Shinsuke","Sakaguchi, Daisuke"
15,Gintama.,"Takasugi, Shinsuke","Koyasu, Takehito"
15,Gintama.,"Takasugi, Shinsuke","Kuwashima, Houko"
16,Fruits Basket: The Final,"Souma, Kyou","Iwami, Manaka"
16,Fruits Basket: The Final,"Souma, Yuki","Uchida, Yuuma"
16,Fruits Basket: The Final,"Souma, Yuki","Shimazaki, Nobunaga"
17,Clannad: After Story,"Okazaki, Ushio","Nakahara, Mai"
17,Clannad: After Story,"Okazaki, Tomoya","Koorogi, Satomi"
17,Clannad: After Story,"Okazaki, Tomoya","Nakamura, Yuuichi"
18,Gintama,"Sakata, Gintoki","Kugimiya, Rie"
18,Gintama,"Shimura, Shinpachi","Sugita, Tomokazu"
18,Gintama,"Shimura, Shinpachi","Yaguchi, Asami"
18,Gintama,"Shimura, Shinpachi","Yonezawa, Madoka"
18,Gintama,"Shimura, Shinpachi","Sakaguchi, Daisuke"
19,Koe no Katachi,"Nishimiya, Shouko","Irino, Miyu"
19,Koe no Katachi,"Nishimiya, Shouko","Matsuoka, Mayu"
19,Koe no Katachi,"Nishimiya, Shouko","Hayami, Saori"
20,3-gatsu no Lion 2nd Season,"Kawamoto, Hinata","Kuno, Misaki"
20,3-gatsu no Lion 2nd Season,"Kawamoto, Akari","Hanazawa, Kana"
20,3-gatsu no Lion 2nd Season,"Kiriyama, Rei","Kayano, Ai"
20,3-gatsu no Lion 2nd Season,"Kiriyama, Rei","Kawanishi, Kengo"
21,Code Geass: Hangyaku no Lelouch R2,"Kururugi, Suzaku",Yukana
21,Code Geass: Hangyaku no Lelouch R2,"Lamperouge, Lelouch","Sakurai, Takahiro"
21,Code Geass: Hangyaku no Lelouch R2,"Stadtfeld, Kallen","Watanabe, Akeno"
21,Code Geass: Hangyaku no Lelouch R2,"Stadtfeld, Kallen","Fukuyama, Jun"
21,Code Geass: Hangyaku no Lelouch R2,"Stadtfeld, Kallen","Ohara, Sayaka"
21,Code Geass: Hangyaku no Lelouch R2,"Stadtfeld, Kallen","Koshimizu, Ami"
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Sakata, Gintoki","Kugimiya, Rie"
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Shimura, Shinpachi","Sugita, Tomokazu"
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Shimura, Shinpachi","Sakaguchi, Daisuke"
24,Kusuriya no Hitorigoto,Maomao,"Ootsuka, Takeo"
24,Kusuriya no Hitorigoto,Maomao,"Yuuki, Aoi"
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,"Sakata, Gintoki","Kugimiya, Rie"
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,"Shimura, Shinpachi","Sugita, Tomokazu"
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,"Shimura, Shinpachi","Sakaguchi, Daisuke"
25,Monster,"Liebert, Johan","Noto, Mamiko"
25,Monster,"Tenma, Kenzou","Tsukada, Mai"
25,Monster,"Tenma, Kenzou","Sasaki, Nozomu"
25,Monster,"Tenma, Kenzou","Uemura, Yuuto"
25,Monster,"Tenma, Kenzou","Kiuchi, Hidenobu"
25,Monster,"Tenma, Kenzou","Ono, Miyuki"
27,Shingeki no Kyojin: The Final Season - Kanketsu-hen,"Arlert, Armin","Ishikawa, Yui"
27,Shingeki no Kyojin: The Final Season - Kanketsu-hen,"Yeager, Eren","Inoue, Marina"
27,Shingeki no Kyojin: The Final Season - Kanketsu-hen,"Yeager, Eren","Kaji, Yuuki"
26,Owarimonogatari 2nd Season,"Hachikuji, Mayoi","Kamiya, Hiroshi"
26,Owarimonogatari 2nd Season,"Oshino, Ougi","Katou, Emiri"
26,Owarimonogatari 2nd Season,"Senjougahara, Hitagi","Mizuhashi, Kaori"
26,Owarimonogatari 2nd Season,"Senjougahara, Hitagi","Saitou, Chiwa"
28,Violet Evergarden Movie,"Evergarden, Violet","Namikawa, Daisuke"
28,Violet Evergarden Movie,"Evergarden, Violet","Ishikawa, Yui"
30,Kingdom 3rd Season,"Lei, Qiang","Kugimiya, Rie"
30,Kingdom 3rd Season,Xin,"Hikasa, Youko"
30,Kingdom 3rd Season,"Ying, Zheng","Morita, Masakazu"
30,Kingdom 3rd Season,"Ying, Zheng","Fukuyama, Jun"
29,Kimi no Na wa.,"Tachibana, Taki","Kamishiraishi, Mone"
29,Kimi no Na wa.,"Tachibana, Taki","Kamiki, Ryunosuke"
32,Vinland Saga Season 2,Thorfinn,"Takeuchi, Shunsuke"
32,Vinland Saga Season 2,Thorfinn,"Uemura, Yuuto"
32,Vinland Saga Season 2,Thorfinn,"Ishigami, Shizuka"
31,Gintama. Shirogane no Tamashii-hen,"Sakata, Gintoki","Kugimiya, Rie"
31,Gintama. Shirogane no Tamashii-hen,"Shimura, Shinpachi","Sugita, Tomokazu"
31,Gintama. Shirogane no Tamashii-hen,"Shimura, Shinpachi","Sakaguchi, Daisuke"
34,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,"Natsuki, Subaru","Takahashi, Rie"
34,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,"Natsuki, Subaru","Kobayashi, Yuusuke"
33,Mob Psycho 100 II,"Kageyama, Shigeo","Ootsuka, Akio"
33,Mob Psycho 100 II,"Reigen, Arataka","Itou, Setsuo"
33,Mob Psycho 100 II,"Reigen, Arataka","Sakurai, Takahiro"
38,Boku no Kokoro no Yabai Yatsu 2nd Season,"Yamada, Anna","Horie, Shun"
38,Boku no Kokoro no Yabai Yatsu 2nd Season,"Yamada, Anna","Youmiya, Hina"
36,Kizumonogatari III: Reiketsu-hen,"Hanekawa, Tsubasa","Kamiya, Hiroshi"
36,Kizumonogatari III: Reiketsu-hen,"Oshino, Shinobu","Horie, Yui"
36,Kizumonogatari III: Reiketsu-hen,"Oshino, Shinobu","Sakamoto, Maaya"
37,Shingeki no Kyojin: The Final Season,"Arlert, Armin","Ishikawa, Yui"
37,Shingeki no Kyojin: The Final Season,"Yeager, Eren","Inoue, Marina"
37,Shingeki no Kyojin: The Final Season,"Yeager, Eren","Kaji, Yuuki"
35,Jujutsu Kaisen 2nd Season,"Getou, Suguru","Uchida, Yuuma"
35,Jujutsu Kaisen 2nd Season,"Gojou, Satoru","Fujiwara, Natsumi"
35,Jujutsu Kaisen 2nd Season,"Itadori, Yuuji","Sakurai, Takahiro"
35,Jujutsu Kaisen 2nd Season,"Kugisaki, Nobara","Nakamura, Yuuichi"
35,Jujutsu Kaisen 2nd Season,"Kugisaki, Nobara","Ise, Mariya"
35,Jujutsu Kaisen 2nd Season,"Kugisaki, Nobara","Enoki, Junya"
35,Jujutsu Kaisen 2nd Season,"Kugisaki, Nobara","Seto, Asami"
40,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"Kageyama, Tobio","Murase, Ayumu"
40,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"Kageyama, Tobio","Ishikawa, Kaito"
39,Bocchi the Rock!,"Ijichi, Nijika","Aoyama, Yoshino"
39,Bocchi the Rock!,"Kita, Ikuyo","Suzushiro, Sayumi"
39,Bocchi the Rock!,"Yamada, Ryou","Hasegawa, Ikumi"
39,Bocchi the Rock!,"Yamada, Ryou","Mizuno, Saku"
41,Hajime no Ippo,"Kamogawa, Genji","Takagi, Wataru"
41,Hajime no Ippo,"Kimura, Tatsuya","Utsumi, Kenji"
41,Hajime no Ippo,"Makunouchi, Ippo","Fujiwara, Keiji"
41,Hajime no Ippo,"Takamura, Mamoru","Kiyasu, Kouhei"
41,Hajime no Ippo,"Takamura, Mamoru","Koyama, Rikiya"
42,Sen to Chihiro no Kamikakushi,"Ogino, Chihiro","Irino, Miyu"
42,Sen to Chihiro no Kamikakushi,"Ogino, Chihiro","Hiiragi, Rumi"
45,Monogatari Series: Second Season,"Hachikuji, Mayoi","Kamiya, Hiroshi"
45,Monogatari Series: Second Season,"Hanekawa, Tsubasa","Katou, Emiri"
45,Monogatari Series: Second Season,"Kaiki, Deishuu","Horie, Yui"
45,Monogatari Series: Second Season,"Oshino, Shinobu","Miki, Shinichiro"
45,Monogatari Series: Second Season,"Sengoku, Nadeko","Sakamoto, Maaya"
45,Monogatari Series: Second Season,"Senjougahara, Hitagi","Hanazawa, Kana"
45,Monogatari Series: Second Season,"Senjougahara, Hitagi","Saitou, Chiwa"
44,Vinland Saga,Canute,"Uchida, Naoya"
44,Vinland Saga,Thorfinn,"Kobayashi, Chiaki"
44,Vinland Saga,Thorfinn,"Kawase, Maki"
44,Vinland Saga,Thorfinn,"Ono, Kensho"
44,Vinland Saga,Thorfinn,"Uemura, Yuuto"
44,Vinland Saga,Thorfinn,"Ishigami, Shizuka"
43,Shingeki no Kyojin: The Final Season Part 2,"Arlert, Armin","Ishikawa, Yui"
43,Shingeki no Kyojin: The Final Season Part 2,"Yeager, Eren","Inoue, Marina"
43,Shingeki no Kyojin: The Final Season Part 2,"Yeager, Eren","Kaji, Yuuki"
46,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,"Shirogane, Miyuki","Koga, Aoi"
46,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,"Shirogane, Miyuki","Furukawa, Makoto"
47,Cowboy Bebop,"Spiegel, Spike","Ishizuka, Unshou"
47,Cowboy Bebop,"Valentine, Faye","Yamadera, Kouichi"
47,Cowboy Bebop,"Wong Hau Pepelu Tivrusky IV, Edward","Hayashibara, Megumi"
47,Cowboy Bebop,"Wong Hau Pepelu Tivrusky IV, Edward","Tada, Aoi"
50,Monogatari Series: Off & Monster Season,Deathtopia Virtuoso Suicide-Master,"Kamiya, Hiroshi"
50,Monogatari Series: Off & Monster Season,"Ononoki, Yotsugi","Fukami, Rica"
50,Monogatari Series: Off & Monster Season,"Oshino, Shinobu","Hayami, Saori"
50,Monogatari Series: Off & Monster Season,"Sengoku, Nadeko","Sakamoto, Maaya"
50,Monogatari Series: Off & Monster Season,"Sengoku, Nadeko","Hanazawa, Kana"
48,The First Slam Dunk,"Mitsui, Hisashi","Miyake, Kenta"
48,The First Slam Dunk,"Miyagi, Ryouta","Kasama, Jun"
48,The First Slam Dunk,"Rukawa, Kaede","Nakamura, Shuugo"
48,The First Slam Dunk,"Sakuragi, Hanamichi","Kamio, Shinichirou"
48,The First Slam Dunk,"Sakuragi, Hanamichi","Kimura, Subaru"
53,Look Back,Kyoumoto,"Kawai, Yuumi"
53,Look Back,Kyoumoto,"Yoshida, Mizuki"
52,Kingdom 5th Season,"Lei, Qiang","Kugimiya, Rie"
52,Kingdom 5th Season,Xin,"Hikasa, Youko"
52,Kingdom 5th Season,"Ying, Zheng","Morita, Masakazu"
52,Kingdom 5th Season,"Ying, Zheng","Fukuyama, Jun"
54,Ashita no Joe 2,"Tange, Danpei","Tanaka, Emi"
54,Ashita no Joe 2,"Yabuki, Joe","Fujioka, Juukei"
54,Ashita no Joe 2,"Yabuki, Joe","Aoi, Teruhiko"
52,Kingdom 4th Season,"Lei, Qiang","Kugimiya, Rie"
52,Kingdom 4th Season,Xin,"Hikasa, Youko"
52,Kingdom 4th Season,"Ying, Zheng","Morita, Masakazu"
52,Kingdom 4th Season,"Ying, Zheng","Fukuyama, Jun"
52,Kingdom 4th Season,"Ying, Zheng","Kanada, Aki"
55,Shiguang Dailiren,"Lu, Guang","Toyonaga, Toshiyuki"
55,Shiguang Dailiren,"Lu, Guang","Sakurai, Takahiro"
51,Kimetsu no Yaiba: Yuukaku-hen,"Hashibira, Inosuke","Shimono, Hiro"
51,Kimetsu no Yaiba: Yuukaku-hen,"Kamado, Tanjirou","Matsuoka, Yoshitsugu"
51,Kimetsu no Yaiba: Yuukaku-hen,"Kamado, Nezuko","Hanae, Natsuki"
51,Kimetsu no Yaiba: Yuukaku-hen,"Uzui, Tengen","Kitou, Akari"
